가게;store, shop
가격;price
가구;furniture
가깝다;close
가끔;sometimes
가다;go
가르치다;teach
가방;bag
가볍다;light
가수;singer
가슴;chest, breast
가요;song
가운데;middle
가위;scissors
가을;autumn, fall
가장;most
가져가다;take away
가져오다;bring
가족;family
가지;branch
가지다;have
각;each
간;while
간단하다;simple, easy
간단히;simply
간식;snack
간장;soy sauce
간호사;nurse
갈비;Galvi, spareribs
갈비탕;Galbitang, spareribs soup
갈색;brown
갈아타다;transfer
감;persimmon
감기;cold
감기약;cold medicine
감다;close ~ (eyes)
감동;sensation
감동하다;be impressed
감사;thank
감사드립니다;thank you
감사하다;thank, appreciate
감사합니다;thank you
감자;potato
감자탕;Gamjatang, potato soup
갑자기;suddenly
값;price
강;river
강아지;puppy
강좌;lecture
갖다;have
같다;same
같이;together
개;dog, ~ piece(s)
개나리;forsythia
개인;individual
거기;there
거리;street
거실;living room
거울;mirror
거의;almost, nearly
거짓말;lie
걱정;anxiety, concern
걱정하다;worry
건강;health
건강하다;be healthy
건너가다;cross (a road)
건너다;cross over
건너편;other side, opposite side
건물;building
건배;cheers, toast
걷다;walk
걸다;bet, call
걸리다;get caught, take (time)
걸어가다;walk (go)
걸어오다;walk (come)
검은색;black
것;that, thing, it
게임;game
겨울;winter
겨울방학;winter vacation
결과;result
결정;decision
결정하다;decide
결혼;marriage
결혼식;wedding ceremony
결혼하다;get married
경기;competition, game
경기장;stadium, arena
경복궁;Gyeongbokgung
경주;Gyeongju
경찰;police
경찰관;police officer
경찰서;police office
경치;view, landscape
경험;experience
계단;stairs
계란;egg
계산하다;calculate
계속;continue
계시다;be, exist (honorific form)
계절;season
계획;plan
고기;meat
고등학교;high school
고등학생;high school student
고르다;choose
고마웠습니다;Thank you (past tense)
고맙다;thank
고맙습니다;Thank you
고모;paternal aunt
고모부;paternal uncle
고속버스;express bus
고양이;cat
고장;broken, malfunction
고추;red pepper
고추장;Kochujang, red pepper paste
고치다;fix
고프다;hungry
고향;hometown
곧;soon
골목;alley
골프;golf
곱다;beautiful
곳;place
공;ball
공간;space
공기;air
공무원;public official
공부;study
공부하다;study
공연;show, public performance
공원;park
공중전화;payphone, public phone
공짜;free
공책;notebook, note
공항;airport
공휴일;public holiday
과;division
과거;past
과일;fruit
과자;snack
과학;science
관계;relation
관광하다;travel, sightsee
관심;attention, interest
광고;advertisement
괜찮다;be okay
괜찮습니다;It's fine.
교과서;textbook
교수;professor
교실;classroom
교체;substitute, change
교통;traffic
교통사고;traffic accident
교회;church
구;9
구경하다;take a look
구두;shoes
구름;cloud
구십;90
구월;September
구하다;save, seek, get
국;soup
국내;domestic
국립;nationalestablished, state
국수;noodle
국어;Korean language
국적;nationality, country of citizenship
국제;international
군인;soldier, military personnel
굽다;bake
권;~ book(s)
귀;ear
귀엽다;cute
규칙;rule
귤;mandarin orange
그;it
그거;it
그것;it
그곳;there
그날;that day
그냥;just, as it is
그동안;meantime, meanwhile, up to now
그들;them, they
그때;then, at that time
그래;Yes, Yeah
그래서;so, thus
그램;gram
그러나;but, however
그러니까;so, because
그러면;then, if so
그런;then, such
그런데;by the way, however
그럼;then
그렇게;like that, so
그렇구나;well, I see.
그렇다;Yes, that's it.
그렇습니다;That's right.
그렇지만;nevertheless, but
그릇;bowl, container, tableware
그리고;and
그리다;draw
그림;drawing, picture
그만;stop, finish
그분;his, the person
그저께;day before yesterday
그중;among them
그쪽;there, the person
그치다;stop, end, cease
